numero_sinistr,Charge,exercice,Police
200900006628,2188.16,2009,4530
201000023755,92650,2010,4530
201000022919,4420.28,2010,4545
201100020731,6000,2011,4547
200800023658,-2200,2008,4554
200800018129,-125.91,2008,4559
201100018211,8664,2011,4566
200800017774,-2096,2008,4569
201000004747,-500,2010,4577
200800041636,-4500,2008,4584
200900025941,1000,2009,4585
201100038373,2227.32,2011,4594
200900035231,117464,2009,4594
200800050767,6467.33,2008,4609
200900038304,2761.75,2009,4618
200900030320,16580.02,2009,4621
201000044804,9150,2010,4623
200900014695,3059.76,2009,4626
201000018521,6000,2010,4629
200800030209,-3160,2008,4630
200800040201,28679.8,2008,4633
201000019871,6000,2010,4633
200900029831,-3100,2009,4633
200900015641,6000,2009,4634
200900041337,781.99,2009,4634
201000029631,9647.21,2010,4634
200800032437,6000,2008,4636
200900000342,-2018.93,2009,4637
200800053766,41000,2008,4641
201000045289,8426.54,2010,4647
201000026232,13728.74,2010,4647
200800030840,11972.6,2008,4650
200800025007,6000,2008,4651
200900015140,6000,2009,4665
200800054463,12438.25,2008,4668
201100046638,2880,2011,4683
200900017423,-4500,2009,4687
201000006900,619.75,2010,4687
201000008893,21799.76,2010,4693
200800029118,6000,2008,4695
200800027980,-4139.63,2008,4712
200800036989,-3846.4,2008,4712
200900011351,25402.11,2009,4722
200900042462,3500,2009,4722
200900028201,6200,2009,4739
200900009411,9780.79,2009,4748
200900037140,6000,2009,4748
200900023730,-5008.85,2009,4750
201000024022,876.33,2010,4750
201100047341,6000,2011,4751
201000012852,-288,2010,4756
201100038320,5771.52,2011,4758
201000014909,7393.08,2010,4759
201100055690,9591.88,2011,4766
200900005957,3554,2009,4769
201100045365,31740,2011,4777
201000012745,-1423.9,2010,4784
200900034155,-5172.18,2009,4785
200800042855,19887.45,2008,4791
200900004482,6453.22,2009,4792
200900034462,1703.85,2009,4795
200900040517,-1400,2009,4798
201000035144,10018.12,2010,4798
201100030713,-2760,2011,4798
201100033646,-708,2011,4799
201100027638,-4500,2011,4799
201100021590,-4550,2011,4799
201000040664,6000,2010,4809
200900030578,6000,2009,4813
201000020983,-4700,2010,4813
201100011601,42150,2011,4813
201000022627,10232.4,2010,4829
200900035929,10150,2009,4844
201000015687,2206.28,2010,4845
201000032519,4000,2010,4847
201000015511,-869.09,2010,4847
201000012255,6000,2010,4849
201000000159,-1549.2,2010,4851
200900036712,47650,2009,4851
200900007913,9266.97,2009,4851
201000056541,6000,2010,4862
201000029757,12000,2010,4862
201000049837,6000,2010,4865
200900031616,27606.67,2009,4870
201100031305,-4500,2011,4883
200900030078,80852.58,2009,4884
201000047326,39436.63,2010,4887
201000009301,-614.4,2010,4890
200800046201,33424.36,2008,4890
201000025675,3120,2010,4892
200900030573,-2680,2009,4894
201000042983,12125.42,2010,4895
201000012154,4472.53,2010,4896
201000023020,6000,2010,4896
201000021788,740,2010,4896
201100011709,6000,2011,4896
201000000412,6500,2010,4901
200900023056,5229.99,2009,4902
200900026175,60214.67,2009,4902
201000041307,-2800,2010,4912
201100027989,11424,2011,4922
200900026257,6000,2009,4923
200900023213,30544,2009,4927
200900000861,9978.65,2009,4938
200900024660,-3600,2009,4940
200900007219,-4600,2009,4942
201000026425,-2431.28,2010,4942
201000023050,-4520,2010,4942
200900019064,-1000,2009,4946
201000013965,21759.61,2010,4951
201000024942,-680.98,2010,4951
201100031338,4429.01,2011,4951
201000026872,6000,2010,4957
201000027648,7109.14,2010,4959
200900002604,4422.77,2009,4960
200900017496,6000,2009,4960
201000032698,2160,2010,4963
200900035705,1690.72,2009,4965
200900017482,3912.44,2009,4965
200900031785,6000,2009,4968
200900026333,-5198.81,2009,4971
200900012263,9151.33,2009,4972
201000010172,3900,2010,4978
201000021544,6000,2010,4978
200900036242,9395.28,2009,4980
201100055916,3000,2011,4984
201100018816,5028.26,2011,4989
201000028234,5329.62,2010,4989
200900023762,6000,2009,4990
200900021260,7251.17,2009,4995
200900041904,2560,2009,4996
200900009441,6000,2009,5001
201100019057,6000,2011,5008
200900028199,2800.02,2009,5008
200900019527,9000,2009,5008
201000028987,3034,2010,5008
201000051918,6000,2010,5010
201100001681,-3800,2011,5010
200900030257,31.85,2009,5017
200900035258,85511.08,2009,5029
200900031371,6000,2009,5034
200900017174,6000,2009,5041
200900020926,7714.8,2009,5047
200900015072,3081.92,2009,5047
201100029733,3049.97,2011,5066
200900018849,6000,2009,5067
200900033202,31005.08,2009,5067
200900015517,1600,2009,5073
201100008818,6000,2011,5077
201100002094,23244,2011,5080
200900028905,6000,2009,5085
201000008301,637.44,2010,5087
200900037192,-950,2009,5088
201000024788,1925.35,2010,5089
201100006289,9093.63,2011,5089
200900042892,12787.47,2009,5090
200900025056,-1696,2009,5108
200900042108,1313,2009,5120
200900028359,1956.48,2009,5120
201000001707,7596,2010,5120
201000025137,-3240,2010,5122
200900032732,6000,2009,5122
201100058221,-4800,2011,5139
201100042851,6000,2011,5139
201100044261,-1138,2011,5143
201000023014,3671.37,2010,5144
201000020142,-3837.64,2010,5154
200900025640,10883.28,2009,5166
201100010593,6001,2011,5169
200900025464,6000,2009,5173
201000001152,4140,2010,5196
201100018641,270650,2011,5227
201000005249,6000,2010,5230
201100043070,6000,2011,5243
201100013088,26691.21,2011,5247
201000023022,3627.94,2010,5252
201100026336,6000,2011,5262
201000038181,57844.7,2010,5275
201100024793,4163.79,2011,5281
201100005817,6000,2011,5281
201000041244,6000,2010,5281
201000015656,395.32,2010,5283
201100009350,6000,2011,5283
201000001826,29658.26,2010,5289
201100007040,5120.32,2011,5290
201000027871,3600,2010,5292
201000043164,6000,2010,5304
201000051917,6000,2010,5306
201000041659,-100,2010,5307
200900051652,6000,2009,5312
201000035646,5628,2010,5317
201000009602,6700,2010,5320
200900042327,-3596,2009,5326
201000055507,6000,2010,5341
201000008554,41000,2010,5362
201100027759,2786.83,2011,5363
201000041629,18298.58,2010,5367
201000025525,14330.54,2010,5371
201000044046,29168.74,2010,5371
201000020422,1534.49,2010,5373
201100000340,22510.77,2011,5373
201000049408,6000,2010,5378
200900012405,-3800,2009,5390
201000028080,6000,2010,5396
201000051008,32344.16,2010,5399
201100024594,11199.35,2011,5405
201000033596,-3000,2010,5416
201000005543,9431.67,2010,5423
201100044251,-2337.8,2011,5423
201100044253,-406.14,2011,5423
201000056520,6000,2010,5431
201000040998,-116,2010,5444
201000024526,-2500,2010,5457
201000032599,-539.42,2010,5459
201000043655,6000,2010,5474
201000026355,6000,2010,5474
201100010587,6000,2011,5485
201100014558,6000,2011,5485
201100037017,6000,2011,5498
201000030200,4006.17,2010,5502
201100000555,1982.2,2011,5502
201000018456,6000,2010,5509
201100005079,8005.5,2011,5509
201100044180,41209.94,2011,5513
201000014833,3912,2010,5515
201000013509,6000,2010,5518
201100005943,-2040,2011,5529
201100013334,150,2011,5533
201000024698,6073.8,2010,5538
201100038274,-3600,2011,5539
201000023319,6000,2010,5542
201000037747,81253.6,2010,5560
201000026433,750,2010,5569
201100046305,10626.72,2011,5583
201100026746,80000,2011,5583
201000031985,-3184.8,2010,5587
201000039539,-3280,2010,5591
201000032616,-5066.56,2010,5591
201100058817,9889.67,2011,5601
201000025343,21350.35,2010,5621
201000042592,6000,2010,5630
201000057282,126000,2010,5652
201100018524,8643,2011,5674
201100033657,7669.86,2011,5680
201000032514,3928.02,2010,5683
201100044439,-4500,2011,5684
201100032753,6000,2011,5725
201100014748,6000,2011,5794
201100017639,6000,2011,5799
201100004613,-2566.2,2011,5811
201100054134,13933.45,2011,5819
201000045528,6000,2010,5821
201100051402,6000,2011,5824
201100000125,6000,2011,5827
201100030851,-4560,2011,5837
201100009693,1194.12,2011,5839
201100041732,-3900,2011,5849
201100033294,5503,2011,5849
201100042714,-100,2011,5903
201100034368,6000,2011,5905
201100029808,10489.52,2011,5905
201100017078,-4738.79,2011,5906
201100061323,57500,2011,5912
201100042356,18100,2011,5920
201100036007,1428,2011,5926
201100012425,2641.87,2011,5927
201100044670,33749.33,2011,5928
201100038172,-1892,2011,5940
201100019833,5000,2011,5944
201100056841,6000,2011,5948
201100022625,632.55,2011,5980
201100036156,6000,2011,5989
201100038804,-3240,2011,6030
201100030273,3700.2,2011,6030
201100035806,8498.03,2011,6040
201100039990,6000,2011,6043
201100046178,8962.04,2011,6049
201100040197,3220,2011,6073
201100029802,17400,2011,6073
201100029327,9123.16,2011,6090
201100058900,6000,2011,6098
201100031279,-4500,2011,6098
201100039258,6422.47,2011,6157
201100043019,6000,2011,6173
201100045628,3281.53,2011,6205
201100050245,2400,2011,6208
201100052191,142807.8,2011,6237
200900026162,18732.41,2009,6683
200900030412,6000,2009,6685
200800017968,56300,2008,6686
201000018536,68066.04,2010,6696
200800030407,6000,2008,6702
201100043071,634,2011,6708
201000048932,6000,2010,6708
200700018356,1296.28,2007,6721
201000000937,6000,2010,6728
200900010850,6000,2009,6728
201000014162,-4040,2010,6729
200700004466,-2500,2007,6729
200900010273,-4610,2009,6735
200800029578,6000,2008,6738
201000024646,6000,2010,6741
201000007850,-3400,2010,6742
200700013317,10772.8,2007,6742
200700018701,6014,2007,6773
200800029143,6000,2008,6776
200900022030,6000,2009,6776
200900008962,2331.37,2009,6795
200700047366,43524.36,2007,6806
200700025212,49338.72,2007,6852
200700000198,6000,2007,6855
200900017339,-2007,2009,6857
200900008007,32130,2009,6875
201000008283,-4600,2010,6881
201100006394,13089.92,2011,6885
201100031816,-4510,2011,6892
201000013139,-500,2010,6892
200800028472,6000,2008,6894
200700036659,21107.32,2007,6898
200800053389,29654.97,2008,6905
200800046130,12000,2008,6906
201100016292,5475,2011,6913
201100001988,-3000,2011,6913
200800004244,10927.63,2008,6913
200800041744,6000,2008,6928
200800043026,-1650,2008,6941
200900029083,6000,2009,6948
200900002423,31303.8,2009,6950
200700029129,1504.57,2007,6957
201000015308,6000,2010,6969
201000029647,-3600,2010,6971
200800002888,24035.64,2008,6971
200900007649,6000,2009,6981
201000054619,6000,2010,6993
201100045493,6000,2011,7004
200700048142,42150,2007,7004
200800031830,6000,2008,7016
201100004857,58000,2011,7017
201100029382,13710,2011,7036
200900033583,120150,2009,7037
200900015537,3000,2009,7042
200700046159,6000,2007,7045
200800037573,16130,2008,7046
200800005790,1398.75,2008,7046
200800028323,11978.06,2008,7047
201000029683,2643.5,2010,7047
201000037584,6000,2010,7056
200900011791,1400,2009,7056
200900052459,53567.83,2009,7068
201000013657,6000,2010,7068
201100024379,3944,2011,7068
200900015008,-1000,2009,7074
201000023108,126250,2010,7075
200700005595,4103.9,2007,7075
200700000241,-2285.93,2007,7094
200900019062,6000,2009,7095
200700001294,-5100,2007,7096
200800040811,-4550,2008,7103
200700048008,13089.17,2007,7104
200700018951,939.09,2007,7112
201000016042,-1100,2010,7113
200700037037,6000,2007,7131
200900026457,6000,2009,7133
200800021994,6000,2008,7133
200700000398,6000,2007,7138
200800028587,2890,2008,7139
200700037176,6000,2007,7145
201100029886,6000,2011,7152
200900043473,6000,2009,7156
200700012626,6000,2007,7157
201000056609,64201.95,2010,7157
200900043021,6300,2009,7177
200700022884,-1496,2007,7185
200800003790,42090.65,2008,7190
200700027119,2250,2007,7191
200900015970,-4550,2009,7198
200800011889,-1634.4,2008,7219
200700016977,1063.92,2007,7220
200700027871,-446.88,2007,7238
200700000193,-237.41,2007,7239
200800036265,41800,2008,7253
201100063057,59800,2011,7264
200800043529,9000,2008,7276
200700025150,6000,2007,7278
200700000617,10886.95,2007,7282
201000012358,6000,2010,7282
200700027789,4284.39,2007,7295
200700012613,6000,2007,7296
201100011876,16720.01,2011,7315
201100035553,63150,2011,7315
201100036738,6000,2011,7316
200800038858,6000,2008,7319
200700009114,-24.6,2007,7323
200900009408,8245.18,2009,7339
201100015683,19860,2011,7354
200900026631,9607.45,2009,7358
201100016899,956.4,2011,7367
201000013853,3000,2010,7375
201000006928,-4.95,2010,7378
200700020368,-3635.4,2007,7379
201100021933,6000,2011,7391
200700029280,6150,2007,7392
200700014566,63078.12,2007,7394
200900001127,-2094.94,2009,7394
201000009300,5503.14,2010,7394
200700018749,1183.08,2007,7395
200800028180,-3300,2008,7396
200700039952,38318.07,2007,7408
200800030883,6000,2008,7411
201000013071,6000,2010,7411
200800025672,6000,2008,7412
200900044004,8996.4,2009,7421
200700027071,6000,2007,7426
200700030963,-950.25,2007,7436
200700019191,6000,2007,7436
200800026651,6000,2008,7436
200800036829,6000,2008,7440
200700014698,-2176.63,2007,7455
200700014918,6000,2007,7465
201100000179,-2850,2011,7471
201000000525,10782.96,2010,7473
200900007313,34957.13,2009,7479
200800007676,5000,2008,7482
200700028839,-2652.38,2007,7489
200700005967,-2748,2007,7491
200700026199,6000,2007,7495
200700020389,43150,2007,7496
200800015990,5496.81,2008,7520
201100040640,3000,2011,7520
201100041830,6000,2011,7521
200700026988,-1207.6,2007,7526
200700037984,24393.24,2007,7530
200700006415,6000,2007,7532
200700047506,34000.94,2007,7534
201000023064,6000,2010,7544
200900004695,0,2009,7546
201000027085,-1000,2010,7554
200800011938,-2108.7,2008,7554
200700046301,116650,2007,7555
201100007476,24878,2011,7559
201000024614,234178.4,2010,7561
200900006638,4800,2009,7579
200700007941,-2136,2007,7585
201100020768,6000,2011,7591
201100039975,6000,2011,7591
201100013444,6000,2011,7607
200900032130,-1500,2009,7607
201100049799,6000,2011,7611
200800001829,2398.03,2008,7621
201100024245,1150,2011,7625
201100001709,50000,2011,7625
200700042373,6000,2007,7626
200900040402,-916.25,2009,7638
200700025362,6000,2007,7638
200700026628,85000,2007,7653
200800022519,-2754,2008,7658
200700000686,6088.1,2007,7674
200700003358,-808.82,2007,7683
200800026917,4500,2008,7685
200700020238,14314.5,2007,7687
200700010057,1416.47,2007,7689
200700016244,6000,2007,7691
200900023699,5126.76,2009,7700
200900006383,-2460,2009,7703
200800035394,4463.26,2008,7715
201100041282,0,2011,7715
201100013944,6000,2011,7715
200700036482,3150,2007,7727
200800027222,4590.72,2008,7736
201000023079,6000,2010,7737
200700029311,29403.43,2007,7741
200800020544,-886.44,2008,7741
200800003246,18.36,2008,7743
200800005714,70864.83,2008,7746
200700047643,21146.82,2007,7746
200700018721,41653.9,2007,7754
200700034555,-334.28,2007,7755
200700031968,-1473,2007,7755
200700034574,-312.34,2007,7755
201100032868,26642.11,2011,7755
201000050840,6000,2010,7755
201000015741,1132.08,2010,7755
200800002932,6000,2008,7760
200700012231,24251.08,2007,7761
200700015998,-2718.86,2007,7784
200800041734,6000,2008,7789
200900036862,61597.95,2009,7791
200700021933,-1093.53,2007,7798
200700042817,6000,2007,7800
201000030921,6000,2010,7809
201100000630,6000,2011,7814
200900010113,30178.67,2009,7830
200900006053,6000,2009,7830
201000006440,64965.05,2010,7834
200700031020,6000,2007,7842
200700029986,6000,2007,7859
201000011595,35000,2010,7860
200700023937,4962.62,2007,7881
201000009649,28183.01,2010,7895
200900027176,101450,2009,7895
201100047433,112054,2011,7895
200700027018,4238.6,2007,7896
200700035666,6330,2007,7897
200900036261,-4200,2009,7899
200700035275,29930.98,2007,7906
201000001530,169691.5,2010,7913
200800037162,-1070.52,2008,7913
200800046677,46977.47,2008,7915
201000012611,6000,2010,7915
201100047211,26358.06,2011,7927
200800014194,6000,2008,7930
200800044854,80367.49,2008,7944
200800037987,4461.44,2008,7954
201100032051,-600,2011,7956
200900029208,6000,2009,7958
201000016786,3200,2010,7960
200800030854,-2350,2008,7962
201000043395,5956.74,2010,7970
201100042665,39150,2011,7970
200900006484,-4510,2009,7977
201000029762,-4510,2010,7977
201000013350,-610,2010,7979
201000059060,6000,2010,7981
201000022741,5000,2010,7984
201100005579,6000,2011,7988
200800043258,2180,2008,8013
200900028369,6000,2009,8016
200900009940,6000,2009,8027
201000037623,38504,2010,8031
201100021047,6000,2011,8040
200900001439,-4500,2009,8044
201000047246,28898.82,2010,8045
200800038200,5677.32,2008,8045
201000048951,6000,2010,8054
200800038926,79857.47,2008,8057
200800053848,71476.08,2008,8063
201100058444,40453.36,2011,8079
200800026474,6804,2008,8082
200900023674,5440.89,2009,8091
201100005363,5190.83,2011,8093
201000018815,6000,2010,8094
201000048633,7380.72,2010,8099
201100007055,6000,2011,8104
200900051207,15089.4,2009,8121
200900015046,61762.02,2009,8138
201000018531,6000,2010,8141
201100015687,50095.09,2011,8142
200900019537,6000,2009,8146
200900041391,6000,2009,8149
201100016313,2800,2011,8152
201000036619,-200,2010,8152
201100021082,6000,2011,8159
201000013685,6000,2010,8162
201000019623,-3000,2010,8169
201000015126,6000,2010,8173
201000017884,6000,2010,8180
201000010761,42150,2010,8190
201000045348,6000,2010,8208
201000033104,70730.64,2010,8209
201000024269,3800,2010,8210
201000017887,6000,2010,8228
201100020796,2012.1,2011,8259
201100010488,8957.74,2011,8283
201100054648,5000,2011,8311
201100041015,6000,2011,8312
201100047549,6000,2011,8316
201100057694,6000,2011,8322
201100042514,1515.36,2011,8350
201100036515,907.46,2011,8357
201100036700,6000,2011,8403
200900029776,2502,2009,8603
200700016467,6000,2007,8603
200800002085,2107.98,2008,8613
200900011478,-2022,2009,8614
201000036494,6000,2010,8617
200700032361,-790,2007,8622
200700042329,3000,2007,8646
200800019575,6000,2008,8651
200800040712,6000,2008,8653
200900029340,14480.47,2009,8666
200800016619,36394.79,2008,8685
200900014468,4136.37,2009,8691
201000033772,-3240,2010,8691
200700037697,30300,2007,8692
200700003931,6000,2007,8701
200700026894,-2022,2007,8710
200700010232,6000,2007,8711
200900039136,92165.33,2009,8712
201100018050,-1500,2011,8712
200800013952,283.2,2008,8713
201000005368,-1520,2010,8715
200700033096,-3870,2007,8716
200800054654,6000,2008,8716
200800004819,-2730,2008,8720
201100052839,6804,2011,8720
200800018660,776.42,2008,8737
200700016526,43119.8,2007,8745
200700003514,69424.26,2007,8745
200700000295,712.93,2007,8751
200800004972,4800,2008,8751
200900040151,5300,2009,8751
200800043599,6000,2008,8756
201000047164,6000,2010,8759
200800044697,765,2008,8765
200800006708,6000,2008,8767
201000033557,2295,2010,8780
201000026859,6000,2010,8781
200700042418,6000,2007,8781
200700034601,73500,2007,8784
200800042623,6000,2008,8784
200800030157,6000,2008,8785
200800011109,5800,2008,8789
201100061077,6000,2011,8789
200800002296,16449,2008,8791
200900048158,6000,2009,8863
200700034729,23120.93,2007,8990
201100024809,6000,2011,9043
200800019294,12000,2008,9051
200700001518,3592,2007,9057
200700005705,3885,2007,9075
200700047828,21000,2007,9092
200800019062,12930,2008,9092
